# intervals of consistent gain/loss CSV (cnvIntervals)
# ---
# algorithmVersion: 2.0
# limInp: 4
# inpVal: 0.1636935
# normalPostProcessingDir: /data5/experpath/vasm/vasm/NextGen/Projects/Tcell/TC30019/GRCh38/svar-1
# normalSampleName: normalPN2
# normalYPostProcessingDir: /data5/experpath/vasm/vasm/NextGen/Projects/Tcell/TC30108/GRCh38/svar-1
# normalYSampleName: TCL028_PB
# qualityPreNorm: 2.8868347
# qualityPostNorm: 1.3455543
# bmdSvPipelineVer: 0.31.3
# ...
"chr","start","end","actualCount","expectedCount","cnvState","nrd","quality"
1,1,8367000,189595,138634.247237547,3,2.40436116357923,1.36062239151603
1,8367000,8404000,513,717.529473580331,2,1.74236745114002,-0.866899807240153
1,8404000,9697000,32629,24301.5903288917,2,2.322405994476,1.08485397400703
1,9697000,10682000,24007,18523.5898311133,2,2.23833800554513,0.801976194309862
1,10682000,10714000,456,604.235346172911,2,1.927725690623,-0.243193591588421
1,10714000,11372000,16920,12273.5304691372,3,2.36443998894143,1.22629286385561
1,11372000,12108000,19046,13840.7658982732,3,2.4309938135117,1.45023777278253
1,12108000,12842000,17413,13821.8835437053,3,2.3743646820791,1.25968815729208
1,12842000,14744000,39281,32798.6498844483,2,2.17195098254021,0.578592550818848
1,14744000,26623000,143521,216391.783348174,1,1.17217020015904,-2.78553892776882
1,26623000,30918000,106144,80533.2422321082,3,2.40714118966822,1.36997681544782
1,30918000,48114000,419268,322057.439510161,2,2.32023757412659,1.07755752334023
1,48114000,55080000,161867,130779.187737299,2,2.1227445207652,0.413019247226263
1,55080000,60437000,119926,100756.243974333,2,2.1229947231132,0.413861145380122
1,60437000,62418000,44635,37311.5326261772,2,2.01904954764611,0.0640992345707002
1,62418000,65550000,68522,58894.0638972909,2,2.03364468461327,0.113209960212569
1,65550000,85570000,412974,374965.797009427,2,1.81924907263086,-0.608203213406653
1,85570000,121610000,769811,663809.174834646,2,1.92183203531435,-0.263024970323804
1,121610000,121700000,900,585.352991605007,3,2.99397689679176,3.34460216320821
1,121700000,125100000,0,0,2,2,0
1,125100000,146034000,49740,37821.3561995106,2,2.23102653693111,0.777374059369269
1,146034000,196858000,1137703,937320.080750727,2,2.06074993898086,0.204415593547467
1,196858000,235177000,909939,711675.943664281,2,2.24534367128937,0.82554934261796
1,235177000,248956000,320892,258726.022289413,2,2.20086325386563,0.675878559709407
2,1,1476000,26422,26680.7670044476,2,1.69267448479944,-1.0341101350208
2,1476000,38216000,656634,690036.765329464,1,1.57724780158484,-1.42250581666849
